,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
41,q_bv2,5,1.0,0.21739130434782608,0.3571428571428571,1.0,1.0,0.21739130434782608,0.3571428571428571,1.0,1.0,0.21739130434782608,0.3571428571428571,1.0,1.0,0.21739130434782608,0.3571428571428571,1.0
42,mpnet,5,1.0,0.21739130434782608,0.3571428571428571,1.0,1.0,0.21739130434782608,0.3571428571428571,1.0,1.0,0.21739130434782608,0.3571428571428571,1.0,1.0,0.21739130434782608,0.3571428571428571,1.0
43,labase,5,1.0,0.21739130434782608,0.3571428571428571,1.0,1.0,0.21739130434782608,0.3571428571428571,1.0,1.0,0.21739130434782608,0.3571428571428571,1.0,1.0,0.21739130434782608,0.3571428571428571,1.0
44,all_mini,5,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,1.0,1.0,1.0,1.0
45,q_bv2,5,1.0,1.0,1.0,1.0,0.4,0.4,0.4000000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
46,mpnet,5,0.6,0.6,0.6,0.9060254355346824,0.8,0.8,0.8000000000000002,0.989141344633751,0.2,0.2,0.20000000000000004,1.0,0.6,0.6,0.6,0.9469024295259745
47,labase,5,0.2,0.2,0.20000000000000004,0.924133208028394,0.2,0.2,0.20000000000000004,0.9639404333166532,0.2,0.2,0.20000000000000004,0.944847956559586,0.2,0.2,0.20000000000000004,0.924133208028394
48,all_mini,5,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0,0.6,0.12,0.19999999999999998,1.0,1.0,0.2,0.33333333333333337,1.0
49,q_bv2,5,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0
50,mpnet,5,0.6,0.12,0.19999999999999998,0.9604133524599737,0.4,0.08,0.13333333333333333,0.9514426589871553,0.6,0.12,0.19999999999999998,1.0,0.6,0.12,0.19999999999999998,0.9796808707575757
51,labase,5,1.0,0.2,0.33333333333333337,1.0,0.8,0.16,0.26666666666666666,0.9828920819566878,1.0,0.2,0.33333333333333337,1.0,1.0,0.2,0.33333333333333337,1.0
52,all_mini,5,0.6,0.06666666666666667,0.12000000000000001,0.9807710461847231,0.6,0.06666666666666667,0.12000000000000001,0.8854598815714875,0.6,0.06666666666666667,0.12000000000000001,0.9807710461847231,0.6,0.06666666666666667,0.12000000000000001,0.9444537180991301
53,q_bv2,5,1.0,0.1111111111111111,0.19999999999999998,1.0,0.6,0.06666666666666667,0.12000000000000001,0.9674679834891694,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0
54,mpnet,5,1.0,0.1111111111111111,0.19999999999999998,1.0,0.8,0.08888888888888889,0.15999999999999998,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0
55,labase,5,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0,1.0,0.1111111111111111,0.19999999999999998,1.0
56,all_mini,5,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0
57,q_bv2,5,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0
58,mpnet,5,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0
59,labase,5,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0,1.0,0.3125,0.47619047619047616,1.0
60,all_mini,5,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0
61,q_bv2,5,0.8,0.8,0.8000000000000002,1.0,0.6,0.6,0.6,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0
62,mpnet,5,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0
63,labase,5,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0,0.8,0.8,0.8000000000000002,1.0
64,all_mini,5,0.0,0.0,0,1.0,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0
65,q_bv2,5,0.8,0.17391304347826086,0.2857142857142857,0.989141344633751,0.4,0.08695652173913043,0.14285714285714285,0.7760026829567223,0.0,0.0,0,0,0.8,0.17391304347826086,0.2857142857142857,1.0
66,mpnet,5,0.0,0.0,0,1.0,0.0,0.0,0,0.6309297535714575,0.0,0.0,0,0.43067655807339306,0.0,0.0,0,0.8772153153380493
67,labase,5,0.2,0.043478260869565216,0.07142857142857142,0.6885288809404666,0.2,0.043478260869565216,0.07142857142857142,0.6885288809404666,0.2,0.043478260869565216,0.07142857142857142,0.6885288809404666,0.2,0.043478260869565216,0.07142857142857142,0.6885288809404666
68,all_mini,5,0.6,0.14285714285714285,0.23076923076923073,1.0,1.0,0.23809523809523808,0.3846153846153846,1.0,1.0,0.23809523809523808,0.3846153846153846,1.0,0.6,0.14285714285714285,0.23076923076923073,1.0
69,q_bv2,5,0.8,0.19047619047619047,0.3076923076923077,1.0,0.6,0.14285714285714285,0.23076923076923073,0.6182885020492787,0.6,0.14285714285714285,0.23076923076923073,1.0,0.6,0.14285714285714285,0.23076923076923073,1.0
70,mpnet,5,0.6,0.14285714285714285,0.23076923076923073,1.0,0.6,0.14285714285714285,0.23076923076923073,1.0,0.2,0.047619047619047616,0.07692307692307693,0.6309297535714574,0.0,0.0,0,0
71,labase,5,1.0,0.23809523809523808,0.3846153846153846,1.0,1.0,0.23809523809523808,0.3846153846153846,1.0,1.0,0.23809523809523808,0.3846153846153846,1.0,1.0,0.23809523809523808,0.3846153846153846,1.0
72,all_mini,5,0.0,0.0,0,1.0,0.0,0.0,0,0.9047172294870751,0.0,0.0,0,1.0,0.0,0.0,0,1.0
73,q_bv2,5,0.0,0.0,0,1.0,0.8,0.08333333333333333,0.1509433962264151,0.9828920819566878,0.0,0.0,0,1.0,0.0,0.0,0,1.0
74,mpnet,5,0.4,0.041666666666666664,0.07547169811320754,0.6787346605816587,0.2,0.020833333333333332,0.03773584905660377,0.5865409417085417,0.4,0.041666666666666664,0.07547169811320754,0.9578347709816888,0.4,0.041666666666666664,0.07547169811320754,0.7025429713312312
