,abordagem,size_page,precision_query,recall_query,f1-score_query,ndcg_query,precision_sinonimos,recall_sinonimos,f1-score_sinonimos,ndcg_sinonimos,precision_erros_digitacao,recall_erros_digitacao,f1-score_erros_digitacao,ndcg_erros_digitacao,precision_reordenados,recall_reordenados,f1-score_reordenados,ndcg_reordenados
135,labase,20,0.0,0.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0,1.0,0.0,0.0,0,0.8315546295836225
136,all_mini,20,0.25,1.0,0.4,0.9813527256712369,0.0,0.0,0,0,0.1,0.4,0.16000000000000003,0.5539224589482165,0.25,1.0,0.4,0.9651474179207824
137,q_bv2,20,0.2,0.8,0.32000000000000006,0.9802788612294567,0.0,0.0,0,0,0.0,0.0,0,0.2890648263178879,0.2,0.8,0.32000000000000006,0.9047172294870752
138,mpnet,20,0.05,0.2,0.08000000000000002,0.2626495350371935,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0
139,labase,20,0.2,0.8,0.32000000000000006,0.9855526021706273,0.1,0.4,0.16000000000000003,0.5338931479009517,0.15,0.6,0.24,0.41544628886256635,0.2,0.8,0.32000000000000006,0.9730794225746446
140,all_mini,20,0.35,0.5384615384615384,0.4242424242424242,0.9141785392605153,0.0,0.0,0,0,0.15,0.23076923076923078,0.18181818181818185,0.740888809513887,0.35,0.5384615384615384,0.4242424242424242,0.8969600425214261
141,q_bv2,20,0.1,0.15384615384615385,0.12121212121212123,0.7312268387113708,0.0,0.0,0,0,0.1,0.15384615384615385,0.12121212121212123,0.8035500109314813,0.2,0.3076923076923077,0.24242424242424246,0.7857984216578006
142,mpnet,20,0.45,0.6923076923076923,0.5454545454545455,0.8616549039801166,0.05,0.07692307692307693,0.060606060606060615,0.8853302769455433,0.0,0.0,0,1.0,0.25,0.38461538461538464,0.30303030303030304,0.9424840542882009
143,labase,20,0.35,0.5384615384615384,0.4242424242424242,0.7559834849687493,0.15,0.23076923076923078,0.18181818181818185,0.5197368935418357,0.3,0.46153846153846156,0.3636363636363637,0.775755485503822,0.35,0.5384615384615384,0.4242424242424242,0.8399415095763436
144,all_mini,20,0.55,0.6111111111111112,0.5789473684210527,0.9579707073085784,0.55,0.6111111111111112,0.5789473684210527,0.9333854724930433,0.05,0.05555555555555555,0.052631578947368425,0.5806934445997253,0.65,0.7222222222222222,0.6842105263157895,0.9586619298236084
145,q_bv2,20,0.65,0.7222222222222222,0.6842105263157895,0.9700030002889531,0.3,0.3333333333333333,0.3157894736842105,0.9014424484040178,0.0,0.0,0,0.38685280723454163,0.65,0.7222222222222222,0.6842105263157895,0.9836788853653864
146,mpnet,20,0.5,0.5555555555555556,0.5263157894736842,0.9698066818763342,0.05,0.05555555555555555,0.052631578947368425,0.8956918032739256,0.1,0.1111111111111111,0.10526315789473685,1.0,0.55,0.6111111111111112,0.5789473684210527,0.9825212008793627
147,labase,20,0.6,0.6666666666666666,0.631578947368421,0.9763799170641355,0.3,0.3333333333333333,0.3157894736842105,0.6238712070357764,0.5,0.5555555555555556,0.5263157894736842,0.9468146638259205,0.55,0.6111111111111112,0.5789473684210527,0.9496973793326154
148,all_mini,20,0.65,0.6842105263157895,0.6666666666666667,0.9485196131096669,0.0,0.0,0,0,0.0,0.0,0,0,0.65,0.6842105263157895,0.6666666666666667,0.9676156416470708
149,q_bv2,20,0.45,0.47368421052631576,0.46153846153846156,0.835152956013438,0.0,0.0,0,0,0.0,0.0,0,0,0.5,0.5263157894736842,0.5128205128205129,0.9318170954152042
150,mpnet,20,0.55,0.5789473684210527,0.5641025641025641,0.9606417126881037,0.0,0.0,0,0,0.0,0.0,0,0,0.5,0.5263157894736842,0.5128205128205129,0.898356904639744
151,labase,20,0.65,0.6842105263157895,0.6666666666666667,0.9879473185287451,0.1,0.10526315789473684,0.10256410256410256,0.8175295903539446,0.0,0.0,0,0,0.65,0.6842105263157895,0.6666666666666667,0.9838903783740912
152,all_mini,20,0.35,1.0,0.5185185185185185,1.0,0.35,1.0,0.5185185185185185,1.0,0.35,1.0,0.5185185185185185,1.0,0.35,1.0,0.5185185185185185,1.0
153,q_bv2,20,0.35,1.0,0.5185185185185185,1.0,0.35,1.0,0.5185185185185185,1.0,0.35,1.0,0.5185185185185185,1.0,0.35,1.0,0.5185185185185185,1.0
154,mpnet,20,0.35,1.0,0.5185185185185185,1.0,0.0,0.0,0,0,0.35,1.0,0.5185185185185185,0.9826566285977438,0.35,1.0,0.5185185185185185,0.9950883841893562
155,labase,20,0.35,1.0,0.5185185185185185,1.0,0.35,1.0,0.5185185185185185,1.0,0.35,1.0,0.5185185185185185,1.0,0.35,1.0,0.5185185185185185,1.0
156,all_mini,20,0.45,0.9,0.6,0.9072551137914184,0.35,0.7,0.4666666666666667,0.7637605224829688,0.3,0.6,0.4,0.6759701566264861,0.45,0.9,0.6,0.9072551137914184
157,q_bv2,20,0.35,0.7,0.4666666666666667,0.8763892246153756,0.2,0.4,0.26666666666666666,0.7679064628813581,0.35,0.7,0.4666666666666667,0.6670058219610379,0.35,0.7,0.4666666666666667,0.8759044604740022
158,mpnet,20,0.35,0.7,0.4666666666666667,0.8051697599321626,0.0,0.0,0,0.26264953503719357,0.0,0.0,0,0,0.35,0.7,0.4666666666666667,0.7818656628586547
